,Fecha / Hora,ID,Comentario
0,2022-06-01 11:07:56+00:00,7569,Shein - Control Horas
1,2022-06-01 11:25:34+00:00,7865,Messer Consolidado Correos
2,2022-06-01 11:26:32+00:00,6886,Messer Ocupación Agente
3,2022-06-01 11:30:51+00:00,6887,Messer Niveles De Servicio
4,2022-06-01 11:33:21+00:00,6887,Messer Niveles De Servicio Chile
5,2022-06-01 11:37:53+00:00,7776,BBVA - BBVA EMPRESAS Recuperacion de la experiencia - Empresas
6,2022-06-01 11:51:01+00:00,6885,Messer 5/15
7,2022-06-01 12:00:26+00:00,7745,Pichincha IVR
8,2022-06-01 12:00:30+00:00,6867,Cruz Verde Informe Diario Junio 20220531
9,2022-06-01 12:17:21+00:00,6867,Cruz Verde Informe Diario Junio 20220531
10,2022-06-01 12:22:47+00:00,7492,Cruz Verde Informe Anis Mayo 20220531
11,2022-06-01 12:27:54+00:00,6577,Direc Tv Colombia K - Directv K Informe Gestion Diaria Cobranzas (novedades Cargue Base Gestión_cobranzas - Konecta
12,2022-06-01 12:36:45+00:00,6238,Seguimiento Tiendas
13,2022-06-01 12:37:20+00:00,7589,Base Seguimiento Servicio Técnico
14,2022-06-01 12:41:54+00:00,7931,BBVA - SPC / Banco
15,2022-06-01 12:46:52+00:00,8070,Wom Migracion Logueos
16,2022-06-01 12:47:34+00:00,6230,Reporte Instalaciones
17,2022-06-01 12:48:13+00:00,7817,ETB CD Redes Sociales
18,2022-06-01 12:53:28+00:00,7981,Informe Seguimiento Central Auto Servicio- Instalaciones
19,2022-06-01 12:54:28+00:00,7982,Informe Seguimiento Central
20,2022-06-01 12:58:27+00:00,7115,Ceet Facturación
21,2022-06-01 12:59:07+00:00,7111,Ceet Tipificaciones Clasificados
22,2022-06-01 13:00:07+00:00,6013,Archivo POL - Suscripciones Mayo 2022
23,2022-06-01 13:00:46+00:00,7110,Ceet Informe Seguimiento Sugar Kcrm
24,2022-06-01 13:00:51+00:00,7860,Cruz Verde Pbi Oms Mayo 20220531
25,2022-06-01 13:01:24+00:00,5172,Ceet Presentación Indicadores Cliente
26,2022-06-01 13:01:51+00:00,5164,Conciliación CEET - Clasificados Mayo 2022
27,2022-06-01 13:02:11+00:00,7458,BBVA - Reporte Irene Empresas
28,2022-06-01 13:04:03+00:00,7623,Messer Pbi Seguimiento Diario
29,2022-06-01 13:04:35+00:00,7827,Sena - Verbathing
30,2022-06-01 13:05:43+00:00,6095,BBVA SAC - Bbva Empresas Seguimiento Diario Buzones
31,2022-06-01 13:06:07+00:00,5403,BBVA - Bbva Empresas Informe Gerencial Empresas
32,2022-06-01 13:06:52+00:00,6739,BBVA - Bbva Seguimiento Cib
33,2022-06-01 13:07:35+00:00,6913,BBVA - Bbva Seguimiento Bei
34,2022-06-01 13:08:09+00:00,6013,Archivo POL Mayo 2022 - Clasificados - VO
35,2022-06-01 13:09:15+00:00,7826,Sena - Informe IVR
36,2022-06-01 13:09:18+00:00,6013,Archivo POL - Suscripciones Mayo 2022
37,2022-06-01 13:21:48+00:00,7045,Sena - dobot - power bi
38,2022-06-01 13:22:26+00:00,5457,Bbva Seguros Margen Operativo Bisemanal (factura Y Transferencias)
39,2022-06-01 13:24:24+00:00,7809,BBVA SEGUROS Tarificador Detallado
40,2022-06-01 13:24:25+00:00,7777,RV:  BBVA - BBVA EMPRESAS Recuperacion de la experiencia - Seguros
41,2022-06-01 13:27:04+00:00,5126,Ceet Asi Terminamos Ayer 31 Mayo 2022
42,2022-06-01 13:30:18+00:00,7933,Medicarte Informe Diario Pbi Mayo 20220531
43,2022-06-01 13:30:59+00:00,7810,ETB CD Detalle SMS Etb Canales Digitales Junio_v2
44,2022-06-01 13:31:08+00:00,8089,Base Lime Encuestas RRSS
45,2022-06-01 13:32:08+00:00,5128,Ceet Informe Cubo
46,2022-06-01 13:34:00+00:00,5665,Ceet Fuera De Horario
47,2022-06-01 13:35:04+00:00,7812,ETB CD Reporte de Servicio Canales Digitales
48,2022-06-01 13:37:50+00:00,7795,Cruz Verde Bonificación Oai Mayo 20220531
49,2022-06-01 13:38:47+00:00,5132,Informe Ventas Caidas Mayo 2022
50,2022-06-01 13:44:24+00:00,5153,Ceet Inserciones no aparecen en KCRM Mayo 2022
51,2022-06-01 13:45:32+00:00,7576,Informe Novedades
52,2022-06-01 13:52:41+00:00,5594,Direc Tv Colombia K - Directv K Informe Cartera Inputs Mes Actual Mayo
53,2022-06-01 13:53:16+00:00,5598,Direc Tv Colombia K - Directv K Informe Cartera Inputs Mes Siguiente Mayo
54,2022-06-01 13:53:43+00:00,6165,Direct Tv Colombia - Directv K Compromisos Vigentes
55,2022-06-01 13:54:04+00:00,7833,Sena - Chat bot
56,2022-06-01 13:59:46+00:00,7591,Reporte de Integración
57,2022-06-01 14:00:41+00:00,5131,Ceet Informe Conversion Diario Mayo 2022
58,2022-06-01 14:00:57+00:00,7811,ETB CD Informe de Recontacto
59,2022-06-01 14:00:57+00:00,7790,Ach Cargue Pronósticos Junio 20220531
60,2022-06-01 14:01:07+00:00,5416,BBVA - Bbva Empresas Prefactura
61,2022-06-01 14:06:05+00:00,6772,Sena - Reporte Tipificación Chat
62,2022-06-01 14:06:15+00:00,7862,Medicarte Horas Conexión Mayo 20220531
63,2022-06-01 14:06:48+00:00,7705,Insumo Cierre Factura BULK SANS MAYO 2022
64,2022-06-01 14:07:31+00:00,7099,Horas Productivas Avaya Domicilios Mayo 20220531
65,2022-06-01 14:09:09+00:00,7817,Re:  ETB CD Redes Sociales
66,2022-06-01 14:12:12+00:00,6777,Sena - Reporte Satisfacción Chat
67,2022-06-01 14:15:08+00:00,4475,BBVA - Margen Operativo
68,2022-06-01 14:15:16+00:00,5456,Bbva Seguros Pre Factura
69,2022-06-01 14:21:23+00:00,7817,RE:  ETB CD Redes Sociales
70,2022-06-01 14:24:58+00:00,5130,Ceet Informe Penetracion
71,2022-06-01 14:25:26+00:00,6621,Ceet Penetración Combos Mayo 2022
72,2022-06-01 14:25:47+00:00,7796,Cruz Verde Tarificador Mayo 20220531
73,2022-06-01 14:28:23+00:00,6912,BBVA - Bbva Empresas Informe Ivr
74,2022-06-01 14:30:04+00:00,7703,Publicacion Simple Reporte De Ivr
75,2022-06-01 14:31:07+00:00,7816,ETB CD Reporte Tipificaciones
76,2022-06-01 14:32:02+00:00,6440,Ach Informe Volumetría General Mayo 20220531
77,2022-06-01 14:33:53+00:00,7077,BBVA - Ocupacion
78,2022-06-01 14:34:59+00:00,7110,Ceet Informe Seguimiento Sugar Kcrm
79,2022-06-01 14:40:44+00:00,7828,Sena - Reporte de servicio wp
80,2022-06-01 14:41:14+00:00,5512,Base De Datos Habeas Data CEET- Mayo 2022
81,2022-06-01 14:41:41+00:00,8086,Requerimientos Vs Trx
82,2022-06-01 14:48:21+00:00,8088,Reporte indicadores operativos
83,2022-06-01 14:49:04+00:00,7805,BBVA SEGUROS BD Tipificación Servicios Endosos
84,2022-06-01 14:49:49+00:00,7704,Linde DashBoard Power Bi
85,2022-06-01 14:50:26+00:00,7932,BBVA - Bbva Empresas Ocupación Premium - Vip
86,2022-06-01 14:50:33+00:00,7749,Liberty Informes: GNB - Bogota - Compensar - Pichincha - Occidente Externo Recibidos
87,2022-06-01 14:51:29+00:00,7932,BBVA - Bbva Empresas Ocupación Premium - Vip
88,2022-06-01 14:51:33+00:00,7748,Liberty Informe Coomeva
89,2022-06-01 14:52:23+00:00,5168,Ceet Corte Ventas Hora Hora
90,2022-06-01 14:54:50+00:00,6888,Messer Productividad
91,2022-06-01 14:56:27+00:00,5207,Publicacion Linde Dashboard Diario
92,2022-06-01 14:56:55+00:00,7621,Reporte Resultado NPS Messer
93,2022-06-01 14:57:08+00:00,7747,BANCO PICHINCHA Rellamados / Short Calls
94,2022-06-01 14:59:04+00:00,7108,Acciona Movilidad - Reporte De Servicio Semanal Acciona Movilidad
95,2022-06-01 15:00:02+00:00,8029,Cruz Verde Horas Avaya Whatsapp Mayo 20220531
96,2022-06-01 15:00:05+00:00,7098,Horas Productivas Avaya Postventa Mayo 20220531
97,2022-06-01 15:00:11+00:00,7141,Ach Informe Chat Bot Mayo 20220531
98,2022-06-01 15:00:30+00:00,7829,Sena - Reporte de tipificación WP
99,2022-06-01 15:05:13+00:00,7830,Sena - Reporte de satisfacción wp
100,2022-06-01 15:11:25+00:00,7777,BBVA - BBVA EMPRESAS Recuperacion de la experiencia - Seguros
101,2022-06-01 15:11:48+00:00,8026,Reporte App y Portal My Linde
102,2022-06-01 15:12:00+00:00,7622,Messer Remanentes
103,2022-06-01 15:14:54+00:00,6258,Ceet - Reporte Efectividades Etce - Televenta Suscripciones
104,2022-06-01 15:22:47+00:00,7831,Sena - Reporte RS video Llamada
105,2022-06-01 15:24:12+00:00,6534,Sodimac Tipificaciones Ventas
106,2022-06-01 15:26:43+00:00,5128,Alcance Ceet Informe Cubo
107,2022-06-01 15:28:51+00:00,5138,Ceet Informe Acumulado Diario Mayo 2022
