 ID_Reporte;Reporte;Programa;Cliente;Fecha_Meta;Hora_Meta;Fecha_Envio;Hora_Envio;Puntual;Observacion;Ciudad
7618;Wom Kpis;Tvt;Wom;1/06/2022;15:00:00;;;;;Bogota
7866;Wom Sik;Sac;Wom;1/06/2022;18:00:00;;;;;Bogota
7617;Wom Informe De Gestión;Tvt;Wom;1/06/2022;12:00:00;;;;;Bogota
7619;Wom Desempeño;Tvt;Wom;1/06/2022;17:00:00;;;;;Bogota
7620;Wom Tablero De Control;Tvt;Wom;1/06/2022;18:00:00;;;;;Bogota
8080;Wom Migracion Informe Gestión;Outbound;Wom Migracion;1/06/2022;16:00:00;;;;;Bogota
8075;Wom Migracion Kpis;Sac;Wom Migracion;1/06/2022;15:00:00;;;;;Bogota
8070;Wom Migracion Logueos;Migracion;Wom Migracion;1/06/2022;8:00:00;;;;;Bogota
8069;Wom Migracion Tablero De Control;Migracion;Wom Migracion;1/06/2022;18:00:00;;;;;Bogota
7623;Messer Pbi Seguimiento Diario;Sac;Messer Colombia;1/06/2022;9:00:00;;;;;Bogota
7865;Messer Consolidado Correos;Sac;Messer Colombia;1/06/2022;8:00:00;;;;;Bogota
7621;Messer Satu;Sac;Messer Colombia;1/06/2022;10:00:00;;;;;Bogota
8073;Messer Informe Ivr Opcion Sms;Sac;Messer Colombia;1/06/2022;13:00:00;;;;;Bogota
6887;Messer Niveles De Servicio;Sac;Messer Colombia;1/06/2022;8:00:00;;;;;Bogota
7770;Messer Desempeño;SAC;Messer Colombia;1/06/2022;18:00:00;;;;;Bogota
7773;Messer Sik;SAC;Messer Colombia;1/06/2022;18:00:00;;;;;Bogota
6888;Messer Productividad;Sac;Messer Colombia;1/06/2022;10:00:00;;;;;Bogota
6891;Messer Tablero De Control;Sac;Messer Colombia;1/06/2022;18:00:00;;;;;Bogota
6885;Messer 5/15;Sac;Messer Colombia;1/06/2022;8:00:00;;;;;Bogota
6886;Messer Ocupación Agente;Sac;Messer Colombia;1/06/2022;8:00:00;;;;;Bogota
7019;Messer Respuesta De Correos Pacientes;Sac;Messer Colombia;1/06/2022;12:00:00;;;;;Bogota
7760;Chilectra Informe Tráfico;Sac;Chilectra;1/06/2022;17:00:00;;;;;Bogota
7768;Chilectra Desempeño;Sac;Chilectra;1/06/2022;18:00:00;;;;;Bogota
7775;Factura Chilectra;Sac;Chilectra;1/06/2022;18:00:00;;;;;Bogota
5157;Chilectra Tablero De Control;Sac;Chilectra;1/06/2022;14:00:00;;;;;Bogota
6920;Chilectra Sik;Sac;Chilectra;1/06/2022;17:00:00;;;;;Bogota
5836;Banco Pichincha Tablero De Control;Sac;Banco Pichincha;1/06/2022;18:00:00;;;;;Bogota
